sample_id,journey_id,timestamp,train_id,train_number,train_name,zone,current_station_code,current_station_name,next_station_code,next_station_name,latitude,longitude,current_delay_minutes,previous_station_delay,current_speed_kmph,distance_to_next_station_km,distance_remaining_km,scheduled_remaining_time_minutes,weather_score,rainfall_mm,congestion_score,speed_restriction_score,signal_delay_score,upcoming_station_count,hour_of_day,day_of_week,month,remaining_travel_time_minutes
JRN_128091_20260801_ST10,JRN_128091_20260801,2026-08-01T01:19:00,128091,128091,Ahmedabad - Visakhapatnam Superfast Express,SER,SC,Secunderabad JN,VSKP,Visakhapatnam,29.5,87.2,56.8,60.0,73.1,85.1,85.1,62.3,0.0,0.0,0.43,0.25,0.3,1,1,5,8,72.4
JRN_229084_20260801_ST04,JRN_229084_20260801,2026-08-01T01:22:00,229084,229084,Amritsar - Visakhapatnam Humsafar Express,WR,JU,Jodhpur JN,PUNE,Pune JN,26.5,82.4,5.3,7.5,78.7,94.0,370.1,270.8,0.0,0.0,0.21,0.0,0.0,4,1,5,8,262.9
JRN_124078_20260801_ST04,JRN_124078_20260801,2026-08-01T01:24:00,124078,124078,Ambala - Varanasi Garib Rath Express,NR,JP,Jaipur,JUC,Jalandhar City,26.5,82.4,5.8,6.2,53.3,114.8,691.1,505.7,0.2,0.0,0.5,0.25,0.3,7,1,5,8,539.0
JRN_124023_20260801_ST04,JRN_124023_20260801,2026-08-01T01:27:00,124023,124023,Amritsar - Ranchi Garib Rath Express,NR,BBS,Bhubaneswar,MAS,Chennai Central,26.5,82.4,13.8,6.7,64.5,94.1,597.5,437.2,0.0,0.0,0.29,0.0,0.0,6,1,5,8,445.4
JRN_208083_20260801_ST05,JRN_208083_20260801,2026-08-01T01:36:00,208083,208083,Anand - Varanasi Vande Bharat,ECoR,JU,Jodhpur JN,LDH,Ludhiana JN,27.0,83.2,19.0,14.8,69.1,90.3,489.0,357.8,0.2,0.0,0.24,0.0,0.0,6,1,5,8,417.6
JRN_12302_20260801_ST02,JRN_12302_20260801,2026-08-01T01:37:00,12302,12302,New Delhi Rajdhani Express,NR,CNB,Kanpur Central,PRYJ,Prayagraj JN,26.4499,80.3319,0.0,0.4,88.9,103.3,547.9,400.9,0.2,0.0,0.02,0.0,0.0,6,1,5,8,429.9
JRN_229017_20260801_ST02,JRN_229017_20260801,2026-08-01T01:41:00,229017,229017,Ahmedabad - Visakhapatnam Humsafar Express,WR,ASR,Amritsar JN,DBRG,Dibrugarh,25.5,80.8,0.0,3.8,67.0,60.4,482.5,353.1,0.0,0.0,0.28,0.25,0.0,6,1,5,8,374.0
JRN_12810_20260801_ST09,JRN_12810_20260801,2026-08-01T01:42:00,12810,12810,Howrah Mumbai Mail,SER,BSP,Bilaspur JN,R,Raipur JN,29.0,86.4,50.5,31.0,78.0,116.7,1486.0,1087.3,0.0,0.0,0.33,0.25,0.3,16,1,5,8,1093.9
JRN_125058_20260801_ST10,JRN_125058_20260801,2026-08-01T01:42:00,125058,125058,Ajmer - Visakhapatnam Jan Shatabdi,NER,SC,Secunderabad JN,SGUJ,Siliguri JN,29.5,87.2,5.6,0.0,72.7,58.5,116.0,84.8,0.1,5.0,0.39,0.25,0.3,2,1,5,8,96.3
JRN_128040_20260801_ST04,JRN_128040_20260801,2026-08-01T01:42:00,128040,128040,Ajmer - Varanasi Superfast Express,SER,ANVT,Anand Vihar,BE,Bareilly,26.5,82.4,16.2,15.2,92.7,106.0,697.4,510.3,0.0,0.0,0.13,0.0,0.0,8,1,5,8,520.7
JRN_208095_20260801_ST07,JRN_208095_20260801,2026-08-01T01:43:00,208095,208095,Ajmer - Visakhapatnam Vande Bharat,ECoR,JU,Jodhpur JN,MB,Moradabad,28.0,84.8,16.1,8.1,82.7,97.5,593.8,434.5,0.1,5.0,0.45,0.0,0.0,7,1,5,8,479.1
JRN_229013_20260801_ST08,JRN_229013_20260801,2026-08-01T01:43:00,229013,229013,Ajmer - Varanasi Humsafar Express,WR,RNC,Ranchi,SC,Secunderabad JN,28.5,85.6,4.2,0.0,63.9,105.4,266.1,194.7,0.1,5.0,0.34,0.0,0.3,3,1,5,8,209.1
JRN_120069_20260801_ST06,JRN_120069_20260801,2026-08-01T01:46:00,120069,120069,Ahmedabad - Visakhapatnam Shatabdi Express,NR,MAS,Chennai Central,GHY,Guwahati,13.0827,80.2707,17.5,15.3,109.3,92.5,798.7,584.4,0.1,5.0,0.09,0.25,0.0,9,1,5,8,607.6
JRN_124055_20260801_ST03,JRN_124055_20260801,2026-08-01T01:48:00,124055,124055,Ajmer - Visakhapatnam Garib Rath Express,NR,DBRG,Dibrugarh,JP,Jaipur,26.0,81.6,21.6,14.7,69.3,60.1,875.5,640.6,0.4,0.0,0.19,0.25,0.0,10,1,5,8,716.9
JRN_12626_20260801_ST05,JRN_12626_20260801,2026-08-01T01:58:00,12626,12626,Kerala Express,SR,VGLJ,V Lakshmibai Jansi,BPL,Bhopal JN,25.4484,78.5685,55.1,41.0,70.8,115.9,2329.4,1704.5,0.9,45.0,0.12,0.0,0.3,27,1,5,8,2228.8
JRN_120089_20260801_ST10,JRN_120089_20260801,2026-08-01T02:02:00,120089,120089,Ajmer - Visakhapatnam Shatabdi Express,NR,PUNE,Pune JN,PURI,Puri,29.5,87.2,34.9,23.5,72.1,93.9,298.3,218.3,0.0,0.0,0.36,0.0,0.3,3,2,5,8,216.9
JRN_226089_20260801_ST05,JRN_226089_20260801,2026-08-01T02:02:00,226089,226089,Ajmer - Visakhapatnam SF Express,SR,PNBE,Patna JN,SGUJ,Siliguri JN,27.0,83.2,33.6,35.5,104.0,66.2,274.6,200.9,0.0,0.0,0.15,0.25,0.0,3,2,5,8,214.8
JRN_124075_20260801_ST10,JRN_124075_20260801,2026-08-01T02:03:00,124075,124075,Ahmedabad - Visakhapatnam Garib Rath Express,NR,SGUJ,Siliguri JN,VSKP,Visakhapatnam,29.5,87.2,111.4,102.7,52.0,113.0,113.0,82.7,0.76,18.0,0.23,0.0,0.3,1,2,5,8,97.5
JRN_208052_20260801_ST05,JRN_208052_20260801,2026-08-01T02:03:00,208052,208052,Ahmedabad - Visakhapatnam Vande Bharat,ECoR,BBS,Bhubaneswar,DBRG,Dibrugarh,27.0,83.2,15.9,19.4,60.9,123.8,914.2,668.9,0.0,0.0,0.26,0.0,0.3,10,2,5,8,681.2
JRN_208080_20260801_ST08,JRN_208080_20260801,2026-08-01T02:05:00,208080,208080,Ahmedabad - Visakhapatnam Vande Bharat,ECoR,LDH,Ludhiana JN,MB,Moradabad,28.5,85.6,23.2,19.1,76.8,114.1,606.6,443.8,0.0,0.0,0.08,0.0,0.0,7,2,5,8,469.2
JRN_122061_20260801_ST06,JRN_122061_20260801,2026-08-01T02:07:00,122061,122061,Ambala - Visakhapatnam Duronto Express,ER,JU,Jodhpur JN,LKO,Lucknow,27.5,84.0,1.0,2.0,73.2,94.2,643.7,471.0,0.0,0.0,0.37,0.0,0.0,7,2,5,8,480.0
JRN_124037_20260801_ST10,JRN_124037_20260801,2026-08-01T02:13:00,124037,124037,Ambala - Udaipur Garib Rath Express,NR,SC,Secunderabad JN,UDZ,Udaipur City,29.5,87.2,36.3,35.8,73.3,98.4,98.4,72.0,0.0,0.0,0.33,0.0,0.0,1,2,5,8,71.4
JRN_124056_20260801_ST02,JRN_124056_20260801,2026-08-01T02:19:00,124056,124056,Ahmedabad - Visakhapatnam Garib Rath Express,NR,UMB,Ambala Cantt,BE,Bareilly,25.5,80.8,29.3,0.0,70.0,80.7,753.5,551.3,0.0,0.0,0.23,0.6,0.0,10,2,5,8,600.4
JRN_124013_20260801_ST01,JRN_124013_20260801,2026-08-01T02:20:00,124013,124013,Ambala - Visakhapatnam Garib Rath Express,NR,UMB,Ambala Cantt,BE,Bareilly,25.0,80.0,6.0,0.0,76.7,113.1,1073.4,785.4,0.0,0.0,0.48,0.0,0.0,11,2,5,8,787.2
JRN_128030_20260801_ST01,JRN_128030_20260801,2026-08-01T02:21:00,128030,128030,Bareilly - Visakhapatnam Superfast Express,SER,BE,Bareilly,BBS,Bhubaneswar,25.0,80.0,1.6,0.0,88.1,62.4,1144.3,837.3,0.0,0.0,0.14,0.25,0.0,14,2,5,8,842.0
JRN_208078_20260801_ST09,JRN_208078_20260801,2026-08-01T02:22:00,208078,208078,Ahmedabad - Visakhapatnam Vande Bharat,ECoR,RNC,Ranchi,UDZ,Udaipur City,29.0,86.4,13.7,9.7,68.1,117.8,181.2,132.6,0.1,5.0,0.49,0.0,0.0,2,2,5,8,147.9
JRN_208095_20260801_ST08,JRN_208095_20260801,2026-08-01T02:28:00,208095,208095,Ajmer - Visakhapatnam Vande Bharat,ECoR,MB,Moradabad,PNBE,Patna JN,28.5,85.6,18.4,16.1,67.2,61.2,496.3,363.2,0.1,5.0,0.63,0.0,0.0,6,2,5,8,405.4
JRN_120037_20260801_ST05,JRN_120037_20260801,2026-08-01T02:33:00,120037,120037,Ajmer - Varanasi Shatabdi Express,NR,GHY,Guwahati,JP,Jaipur,27.0,83.2,32.6,24.8,72.7,70.9,854.0,624.9,0.0,0.0,0.28,0.0,0.0,10,2,5,8,624.0
JRN_128040_20260801_ST05,JRN_128040_20260801,2026-08-01T02:34:00,128040,128040,Ajmer - Varanasi Superfast Express,SER,BE,Bareilly,BBS,Bhubaneswar,27.0,83.2,8.0,16.2,93.1,77.6,591.4,432.7,0.0,0.0,0.19,0.0,0.3,7,2,5,8,451.3
JRN_12302_20260801_ST03,JRN_12302_20260801,2026-08-01T02:35:00,12302,12302,New Delhi Rajdhani Express,NR,PRYJ,Prayagraj JN,DDU,Pt DD Upadhyaya JN,25.4358,81.8463,2.2,0.0,55.9,57.8,444.5,325.3,0.2,0.0,0.8,0.0,0.0,5,2,5,8,352.1
JRN_120012_20260801_ST03,JRN_120012_20260801,2026-08-01T02:36:00,120012,120012,Ambala - Visakhapatnam Shatabdi Express,NR,BBS,Bhubaneswar,MAS,Chennai Central,26.0,81.6,5.9,2.4,68.2,81.6,677.1,495.4,0.0,0.0,0.21,0.0,0.0,8,2,5,8,500.9
JRN_128010_20260801_ST02,JRN_128010_20260801,2026-08-01T02:39:00,128010,128010,Ajmer - Varanasi Superfast Express,SER,ASR,Amritsar JN,ANVT,Anand Vihar,25.5,80.8,0.0,0.0,82.0,79.1,832.7,609.3,0.0,0.0,0.16,0.0,0.0,8,2,5,8,629.5
JRN_128036_20260801_ST12,JRN_128036_20260801,2026-08-01T02:39:00,128036,128036,Ajmer - Visakhapatnam Superfast Express,SER,BSB,Varanasi JN,VSKP,Visakhapatnam,25.3268,82.9863,41.7,46.9,55.0,117.0,117.0,85.6,0.0,0.0,0.47,0.0,0.0,1,2,5,8,92.9
JRN_229084_20260801_ST05,JRN_229084_20260801,2026-08-01T02:40:00,229084,229084,Amritsar - Visakhapatnam Humsafar Express,WR,PUNE,Pune JN,PURI,Puri,27.0,83.2,0.5,5.3,72.3,107.0,276.1,202.0,0.0,0.0,0.12,0.0,0.0,3,2,5,8,198.9
JRN_120089_20260801_ST11,JRN_120089_20260801,2026-08-01T02:44:00,120089,120089,Ajmer - Visakhapatnam Shatabdi Express,NR,PURI,Puri,RNC,Ranchi,30.0,88.0,38.5,34.9,75.8,106.3,204.4,149.6,0.0,0.0,0.01,0.0,0.3,2,2,5,8,144.5
JRN_122061_20260801_ST07,JRN_122061_20260801,2026-08-01T02:46:00,122061,122061,Ambala - Visakhapatnam Duronto Express,ER,LKO,Lucknow,LDH,Ludhiana JN,28.0,84.8,6.5,1.0,76.6,91.9,549.5,402.1,0.0,0.0,0.08,0.0,0.0,6,2,5,8,405.6
JRN_124059_20260801_ST06,JRN_124059_20260801,2026-08-01T02:46:00,124059,124059,Amritsar - Visakhapatnam Garib Rath Express,NR,JUC,Jalandhar City,LKO,Lucknow,27.5,84.0,28.5,21.7,94.4,84.4,684.1,500.6,0.0,0.0,0.11,0.0,0.0,8,2,5,8,498.9
JRN_12565_20260801_ST02,JRN_12565_20260801,2026-08-01T02:48:00,12565,12565,Bihar Sampark Kranti Express,ECR,SPJ,Samastipur JN,MFP,Muzaffarpur JN,25.5,80.8,14.1,2.0,74.9,120.1,948.6,694.1,0.0,0.0,0.33,0.0,0.0,11,2,5,8,736.8
JRN_226089_20260801_ST06,JRN_226089_20260801,2026-08-01T02:52:00,226089,226089,Ajmer - Visakhapatnam SF Express,SR,SGUJ,Siliguri JN,BSB,Varanasi JN,27.5,84.0,34.3,33.6,78.9,110.3,208.4,152.5,0.0,0.0,0.12,0.6,0.0,2,2,5,8,165.6
JRN_124055_20260801_ST04,JRN_124055_20260801,2026-08-01T02:53:00,124055,124055,Ajmer - Visakhapatnam Garib Rath Express,NR,JP,Jaipur,JUC,Jalandhar City,26.5,82.4,23.3,21.6,69.1,83.2,815.4,596.6,0.4,0.0,0.31,0.0,0.0,9,2,5,8,671.3
JRN_12810_20260801_ST10,JRN_12810_20260801,2026-08-01T02:56:00,12810,12810,Howrah Mumbai Mail,SER,R,Raipur JN,DURG,Durg,29.5,87.2,57.4,50.5,73.7,116.0,1369.3,1001.9,0.0,0.0,0.29,0.0,0.0,15,2,5,8,1001.7
JRN_125058_20260801_ST11,JRN_125058_20260801,2026-08-01T02:56:00,125058,125058,Ajmer - Visakhapatnam Jan Shatabdi,NER,SGUJ,Siliguri JN,VSKP,Visakhapatnam,30.0,88.0,21.9,5.6,66.6,57.4,57.4,42.0,0.1,5.0,0.18,0.0,0.0,1,2,5,8,37.1
JRN_226043_20260801_ST10,JRN_226043_20260801,2026-08-01T02:57:00,226043,226043,Ahmedabad - Udaipur SF Express,SR,PUNE,Pune JN,PURI,Puri,29.5,87.2,166.3,136.1,90.5,69.4,277.0,202.7,0.9,45.0,0.13,0.0,0.0,4,2,5,8,277.2
JRN_128068_20260801_ST08,JRN_128068_20260801,2026-08-01T03:01:00,128068,128068,Ambala - Visakhapatnam Superfast Express,SER,PURI,Puri,RNC,Ranchi,28.5,85.6,48.7,44.1,63.3,64.3,390.6,285.8,0.0,0.0,0.45,0.25,0.3,5,3,5,8,312.4
JRN_120069_20260801_ST07,JRN_120069_20260801,2026-08-01T03:06:00,120069,120069,Ahmedabad - Visakhapatnam Shatabdi Express,NR,GHY,Guwahati,JUC,Jalandhar City,28.0,84.8,14.3,17.5,93.3,70.1,706.2,516.7,0.1,5.0,0.13,0.0,0.0,8,3,5,8,543.2
JRN_229013_20260801_ST09,JRN_229013_20260801,2026-08-01T03:08:00,229013,229013,Ajmer - Varanasi Humsafar Express,WR,SC,Secunderabad JN,SGUJ,Siliguri JN,29.0,86.4,12.4,4.2,89.5,62.1,160.7,117.6,0.1,5.0,0.34,0.0,0.3,2,3,5,8,123.8
JRN_229017_20260801_ST03,JRN_229017_20260801,2026-08-01T03:10:00,229017,229017,Ahmedabad - Visakhapatnam Humsafar Express,WR,DBRG,Dibrugarh,HYB,Hyderabad,26.0,81.6,3.6,0.0,82.0,56.3,422.1,308.9,0.0,0.0,0.17,0.0,0.0,5,3,5,8,326.2
JRN_208083_20260801_ST06,JRN_208083_20260801,2026-08-01T03:11:00,208083,208083,Anand - Varanasi Vande Bharat,ECoR,LDH,Ludhiana JN,DDU,Mughalsarai,27.5,84.0,25.8,19.0,83.9,55.5,398.7,291.7,0.2,0.0,0.2,0.0,0.3,5,3,5,8,344.8
JRN_208078_20260801_ST10,JRN_208078_20260801,2026-08-01T03:16:00,208078,208078,Ahmedabad - Visakhapatnam Vande Bharat,ECoR,UDZ,Udaipur City,VSKP,Visakhapatnam,29.5,87.2,18.9,13.7,73.1,63.4,63.4,46.4,0.1,5.0,0.38,0.0,0.0,1,3,5,8,56.6
JRN_120012_20260801_ST04,JRN_120012_20260801,2026-08-01T03:17:00,120012,120012,Ambala - Visakhapatnam Shatabdi Express,NR,MAS,Chennai Central,GHY,Guwahati,13.0827,80.2707,0.0,5.9,89.9,115.4,595.5,435.8,0.0,0.0,0.42,0.0,0.0,7,3,5,8,448.2
JRN_208080_20260801_ST09,JRN_208080_20260801,2026-08-01T03:18:00,208080,208080,Ahmedabad - Visakhapatnam Vande Bharat,ECoR,MB,Moradabad,DDU,Mughalsarai,29.0,86.4,16.2,23.2,63.7,73.4,492.5,360.4,0.0,0.0,0.25,0.0,0.0,6,3,5,8,392.8
JRN_12137_20260801_ST14,JRN_12137_20260801,2026-08-01T03:27:00,12137,12137,Punjab Mail,CR,HBD,Hoshangabad,BPL,Bhopal JN,31.5,90.4,114.2,112.7,81.8,69.9,3226.9,2361.1,0.36,18.0,0.26,0.0,0.0,38,3,5,8,2669.9
JRN_208095_20260801_ST09,JRN_208095_20260801,2026-08-01T03:27:00,208095,208095,Ajmer - Visakhapatnam Vande Bharat,ECoR,PNBE,Patna JN,PURI,Puri,29.0,86.4,21.0,18.4,59.7,102.4,435.1,318.4,0.1,5.0,0.51,0.0,0.0,5,3,5,8,358.0
JRN_124059_20260801_ST07,JRN_124059_20260801,2026-08-01T03:30:00,124059,124059,Amritsar - Visakhapatnam Garib Rath Express,NR,LKO,Lucknow,LDH,Ludhiana JN,28.0,84.8,21.2,28.5,69.2,109.6,599.7,438.8,0.0,0.0,0.29,0.0,0.0,7,3,5,8,444.5
JRN_124023_20260801_ST05,JRN_124023_20260801,2026-08-01T03:31:00,124023,124023,Amritsar - Ranchi Garib Rath Express,NR,MAS,Chennai Central,GHY,Guwahati,13.0827,80.2707,13.0,13.8,63.4,79.0,503.4,368.3,0.0,0.0,0.18,0.0,0.0,5,3,5,8,377.3
JRN_124078_20260801_ST05,JRN_124078_20260801,2026-08-01T03:34:00,124078,124078,Ambala - Varanasi Garib Rath Express,NR,JUC,Jalandhar City,LDH,Ludhiana JN,27.0,83.2,17.5,5.8,68.1,116.8,576.2,421.6,0.2,0.0,0.17,0.25,0.0,6,3,5,8,443.2
JRN_12810_20260801_ST11,JRN_12810_20260801,2026-08-01T03:35:00,12810,12810,Howrah Mumbai Mail,SER,DURG,Durg,RJN,Raj Nandgaon,30.0,88.0,55.0,57.4,80.5,57.0,1253.3,917.0,0.0,0.0,0.41,0.0,0.0,14,3,5,8,919.2
JRN_208034_20260801_ST01,JRN_208034_20260801,2026-08-01T03:35:00,208034,208034,Dibrugarh - Visakhapatnam Vande Bharat,ECoR,DBRG,Dibrugarh,JP,Jaipur,25.0,80.0,0.0,0.0,69.7,76.2,807.3,590.7,0.0,0.0,0.33,0.25,0.0,8,3,5,8,601.3
JRN_226043_20260801_ST11,JRN_226043_20260801,2026-08-01T03:41:00,226043,226043,Ahmedabad - Udaipur SF Express,SR,PURI,Puri,RNC,Ranchi,30.0,88.0,174.4,166.3,85.4,79.7,207.6,151.9,0.9,45.0,0.29,0.25,0.8,3,3,5,8,218.4
JRN_208052_20260801_ST06,JRN_208052_20260801,2026-08-01T03:43:00,208052,208052,Ahmedabad - Visakhapatnam Vande Bharat,ECoR,DBRG,Dibrugarh,HYB,Hyderabad,27.5,84.0,9.9,15.9,58.6,72.5,790.4,578.4,0.0,0.0,0.14,0.6,0.3,9,3,5,8,596.6
JRN_124058_20260801_ST01,JRN_124058_20260801,2026-08-01T03:49:00,124058,124058,Ahmedabad - Udaipur Garib Rath Express,NR,ADI,Ahmedabad JN,UMB,Ambala Cantt,25.0,80.0,19.3,0.0,88.2,96.5,676.3,494.8,0.4,0.0,0.14,0.0,0.0,7,3,5,8,539.6
JRN_120037_20260801_ST06,JRN_120037_20260801,2026-08-01T03:52:00,120037,120037,Ajmer - Varanasi Shatabdi Express,NR,JP,Jaipur,JU,Jodhpur JN,27.5,84.0,24.9,32.6,77.2,79.8,783.1,573.0,0.0,0.0,0.18,0.25,0.0,9,3,5,8,579.9
JRN_128030_20260801_ST02,JRN_128030_20260801,2026-08-01T03:56:00,128030,128030,Bareilly - Visakhapatnam Superfast Express,SER,BBS,Bhubaneswar,MAS,Chennai Central,25.5,80.8,0.5,1.6,73.9,79.8,1081.9,791.7,0.0,0.0,0.05,0.0,0.0,13,3,5,8,797.4
JRN_122061_20260801_ST08,JRN_122061_20260801,2026-08-01T03:57:00,122061,122061,Ambala - Visakhapatnam Duronto Express,ER,LDH,Ludhiana JN,MB,Moradabad,28.5,85.6,2.7,6.5,67.5,105.4,457.6,334.8,0.0,0.0,0.25,0.0,0.0,5,3,5,8,342.2
JRN_208080_20260801_ST10,JRN_208080_20260801,2026-08-01T03:57:00,208080,208080,Ahmedabad - Visakhapatnam Vande Bharat,ECoR,DDU,Mughalsarai,PUNE,Pune JN,25.2819,83.1147,17.3,16.2,60.6,84.5,419.1,306.7,0.0,0.0,0.49,0.0,0.3,5,3,5,8,337.9
JRN_128010_20260801_ST03,JRN_128010_20260801,2026-08-01T04:03:00,128010,128010,Ajmer - Varanasi Superfast Express,SER,ANVT,Anand Vihar,BE,Bareilly,26.0,81.6,0.0,0.0,81.0,106.3,753.6,551.4,0.0,0.0,0.36,0.0,0.0,7,4,5,8,576.5
